filter,zp_vegjy
J,1594
H,1024
Ks,666.7
IRAC1,277.5
IRAC2,179.5
IRAC3,116.6
IRAC4,63.1
MIPS1,7.17
MIPS2,0.778
MIPS3,0.159
f070w,2924.34
f090w,2314.51
f115w,1791.24
f150w,1193.9
f200w,766.35
f140m,1314.23
f162m,1036.9
f182m,853.54
f210m,695.19
f164n,996.82
f187n,802.17
f212n,682.02
f150w2,1157.59
f277w,432.98
f356w,272.99
f444w,186.28
f250m,509.32
f300m,370.06
f335m,301.65
f360m,261.79
f410m,210.39
f430m,191.2
f460m,163.99
f480m,154.71
f323n,322.95
f405n,207.0
f466n,157.47
f470n,159.7
f322w2,338.41
f560w,115.439
f770w,65.011
f1000w,38.401
f1130w,29.538
f1280w,23.368
f1500w,17.020
f1800w,11.895
f2100w,8.981
f2550w,6.012