TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,AR,PH,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,PLN-LNA,UC-CDS,PKD,ES2000,FE,FEI-FE 2000,LI (LIT-CI)
Gipuzkoa,IKAZTEGIETA,,44,3,319,118,,118,4,114,201,77,12,19,1,0,,0,,0,4,0,0,1,,0,0,0,0
Gipuzkoa,IRUN,,45,2,47257,31379,256,31123,1221,29902,15878,6187,9577,2020,1590,23,,110,,34,9830,377,92,16,,17,9,9,11
Gipuzkoa,IRURA,,46,3,596,241,,241,8,233,355,127,29,42,4,0,,1,,0,27,2,0,0,,0,0,0,1
Álava,IRURAIZ-GAUNA,,27,2,379,208,,208,3,205,171,75,95,7,9,,0,0,,0,14,5,0,0,,0,0,,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1513,1103,11,1092,39,1053,410,150,460,22,54,,1,9,,2,337,15,1,1,,1,0,,0
Bizkaia,ISPASTER,,49,4,553,348,7,341,1,340,205,293,28,9,3,0,0,0,0,0,4,1,1,0,0,0,0,1,0
Gipuzkoa,ITSASONDO,,47,3,516,183,10,173,9,164,333,77,18,49,2,0,,0,,0,16,1,1,0,,0,0,0,0
Bizkaia,IURRETA,,910,3,3690,2272,36,2236,29,2207,1418,883,581,56,110,0,0,6,0,0,553,4,1,3,7,3,0,0,0
Bizkaia,IZURTZA,,50,3,238,148,6,142,3,139,90,119,7,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2598,1611,21,1590,17,1573,987,1002,250,75,25,0,0,1,0,0,208,2,0,0,4,0,0,5,1
Bizkaia,KORTEZUBI,,907,4,331,230,3,227,4,223,101,196,10,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Álava,KRIPAN,,19,2,166,138,,138,,138,28,84,42,4,3,,0,0,,0,5,0,0,0,,0,0,,0
Álava,KUARTANGO,,20,2,339,223,6,217,4,213,116,114,72,2,11,,0,0,,0,10,2,2,0,,0,0,,0
Álava,LABASTIDA/BASTIDA,,28,2,1013,732,10,722,9,713,281,160,328,25,53,,2,0,,1,139,3,1,0,,1,0,,0
Álava,LAGRÁN,,30,2,189,164,4,160,2,158,25,36,98,5,3,,0,0,,0,14,1,0,0,,1,0,,0
Álava,LAGUARDIA,,31,2,1220,948,5,943,22,921,272,238,510,27,20,,3,2,,2,111,4,2,1,,1,0,,0
Álava,LANCIEGO/LANTZIEGO,,32,2,558,451,4,447,7,440,107,132,197,2,8,,0,0,,1,99,1,0,0,,0,0,,0
Bizkaia,LANESTOSA,,51,2,245,193,1,192,2,190,52,99,51,1,4,0,0,0,0,1,30,2,1,0,0,0,0,0,1
Álava,LANTARÓN,,902,2,859,609,5,604,14,590,250,156,299,1,36,,0,1,,4,86,3,1,2,,0,1,,0
Álava,LAPUEBLA DE LABARCA,,33,2,726,619,8,611,7,604,107,273,185,32,17,,0,1,,0,92,3,0,1,,0,0,,0
Bizkaia,LARRABETZU,,52,4,1315,712,12,700,6,694,603,550,55,32,16,0,1,0,0,0,36,3,0,0,1,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,121,19,,19,,19,102,13,2,3,0,0,,0,,0,1,0,0,0,,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14984,9223,84,9139,345,8794,5761,1326,2316,761,467,5,,35,,8,3699,122,30,9,,4,1,7,4
Álava,LAUDIO/LLODIO,,36,3,16621,10579,164,10415,236,10179,6042,3439,2972,525,521,,7,23,,11,2522,90,26,16,,12,8,,7
Bizkaia,LAUKIZ,,53,4,801,614,3,611,14,597,187,376,129,58,2,0,1,0,0,0,29,2,0,0,0,0,0,0,0
Gipuzkoa,LAZKAO,,49,3,4011,2028,13,2015,58,1957,1983,658,420,289,117,1,,5,,1,456,3,4,1,,1,0,0,1
Gipuzkoa,LEABURU,,50,3,308,41,,41,2,39,267,22,6,7,1,0,,0,,0,2,1,0,0,,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7692,4627,60,4567,119,4448,3065,1391,877,935,191,2,,9,,5,1000,23,3,0,,2,2,3,5
Gipuzkoa,LEGORRETA,,52,3,1175,620,6,614,14,600,555,305,99,70,16,0,,0,,1,105,3,0,0,,0,0,0,1
Álava,LEGUTIO,,58,2,1169,604,14,590,20,570,565,253,115,97,22,,0,2,,1,75,4,1,0,,0,0,,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,218,80,,80,4,76,138,58,2,12,1,0,,0,,0,3,0,0,0,,0,0,0,0
Bizkaia,LEIOA,,54,4,22960,16243,163,16080,583,15497,6717,5735,3930,724,1120,2,10,46,10,27,3574,171,36,11,88,5,2,1,5
Bizkaia,LEKEITIO,,57,4,6378,3170,20,3150,41,3109,3208,1980,183,791,34,0,0,2,0,0,102,6,3,0,8,0,0,0,0
Bizkaia,LEMOA,,55,3,2208,1632,52,1580,20,1560,576,970,191,217,33,0,0,4,4,1,126,11,0,0,1,0,1,1,0
Bizkaia,LEMOIZ,,56,4,762,513,6,507,14,493,249,391,29,33,6,0,1,1,0,0,18,7,2,0,5,0,0,0,0
Álava,LEZA,,34,2,179,127,1,126,3,123,52,42,30,16,3,,0,0,,0,29,3,0,0,,0,0,,0
Bizkaia,LEZAMA,,81,4,1775,1162,13,1149,21,1128,613,876,107,47,31,0,3,4,0,1,54,2,0,0,2,1,0,0,0
Gipuzkoa,LEZO,,53,2,4807,1547,10,1537,57,1480,3260,339,324,311,79,2,,4,,0,403,14,2,0,,2,0,0,0
Gipuzkoa,LIZARTZA,,54,3,540,98,1,97,1,96,442,43,13,39,0,0,,0,,0,1,0,0,0,,0,0,0,0
Bizkaia,LOIU,,903,4,1582,1184,29,1155,24,1131,398,713,248,86,18,0,0,0,0,0,54,5,0,0,7,0,0,0,0
Bizkaia,MALLABIA,,58,3,953,456,4,452,4,448,497,241,79,24,13,0,0,2,0,0,82,7,0,0,0,0,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3900,1805,26,1779,16,1763,2095,1289,193,168,23,1,0,0,1,0,79,2,1,1,5,0,0,0,0
Bizkaia,MARURI-JATABE,,61,4,539,390,3,387,7,380,149,259,49,42,14,0,1,1,0,0,11,3,0,0,0,0,0,0,0
Bizkaia,MAÑARIA,,59,3,396,230,4,226,4,222,166,181,25,7,2,0,0,0,0,2,3,1,0,0,1,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1192,722,6,716,18,698,470,382,92,105,16,0,,0,,1,97,2,1,0,,1,0,1,0
Bizkaia,MENDATA,,62,4,296,205,4,201,,201,91,158,12,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,300,146,,146,4,142,154,118,13,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,451,299,,299,10,289,152,185,14,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,241,202,2,200,2,198,39,44,76,1,3,,0,0,,2,72,0,0,0,,0,0,,0
Bizkaia,MORGA,,66,4,357,233,1,232,3,229,124,196,10,18,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1571,1071,14,1057,8,1049,500,794,63,152,12,1,0,0,0,0,22,2,0,0,2,1,0,0,0
Bizkaia,MUNGIA,,69,4,10659,7137,69,7068,133,6935,3522,4334,1111,486,191,0,5,13,3,1,711,52,5,1,17,2,1,1,1
Álava,MUNICIPIO CERA ARABA,,999,99,2273,530,9,521,11,510,1743,78,242,15,20,,0,2,,4,131,11,0,5,,1,1,,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,16965,3725,12,3713,80,3633,13240,1327,1042,90,131,0,0,13,13,17,928,48,6,3,4,4,6,0,1
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,10589,2845,53,2792,45,2747,7744,639,728,299,118,3,,6,,9,867,62,8,3,,0,2,3,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,333,182,,182,2,180,151,151,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,185,128,2,126,4,122,57,93,11,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5533,4036,79,3957,75,3882,1497,1900,505,310,189,1,1,7,2,8,914,22,5,1,14,1,1,0,1
Gipuzkoa,MUTILOA,,57,3,141,51,2,49,,49,90,31,3,13,1,0,,0,,0,1,0,0,0,,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,4042,1992,19,1973,41,1932,2050,1296,246,245,31,0,,0,,0,107,6,1,0,,0,0,0,0
Bizkaia,MUXIKA,,67,4,1216,628,7,621,7,614,588,486,25,83,6,0,0,1,0,0,11,1,0,0,1,0,0,0,0
Bizkaia,NABARNIZ,,909,4,204,80,1,79,,79,124,66,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,179,143,4,139,3,136,36,26,97,4,4,,0,0,,0,3,2,0,0,,0,0,,0
Gipuzkoa,OIARTZUN,,63,2,7546,2208,25,2183,53,2130,5338,828,344,614,81,4,,2,,1,241,8,6,0,,0,0,1,0
Álava,OKONDO,,42,3,702,502,8,494,7,487,200,243,89,134,4,,0,0,,1,16,0,0,0,,0,0,,0
Gipuzkoa,OLABERRIA,,58,3,834,496,2,494,11,483,338,156,120,47,17,0,,1,,1,135,4,1,1,,0,0,0,0
Bizkaia,ONDARROA,,73,4,8247,3415,52,3363,45,3318,4832,2112,516,432,44,4,2,2,2,2,187,7,2,0,4,0,0,2,0
Gipuzkoa,ORDIZIA,,76,3,7598,4241,36,4205,128,4077,3357,1202,901,726,266,6,,10,,3,909,36,9,0,,2,2,1,4
Gipuzkoa,ORENDAIN,,905,3,128,27,,27,,27,101,12,4,11,0,0,,0,,0,0,0,0,0,,0,0,0,0
Gipuzkoa,OREXA,,60,3,72,5,,5,2,3,67,3,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0
Gipuzkoa,ORIO,,61,4,3593,1953,10,1943,78,1865,1640,985,196,380,36,3,,2,,0,254,6,0,1,,0,0,0,2
Gipuzkoa,ORMAIZTEGI,,62,3,958,529,5,524,9,515,429,341,35,100,13,0,,1,,0,24,1,0,0,,0,0,0,0
Bizkaia,OROZKO,,75,3,1732,1092,17,1075,19,1056,640,744,180,63,15,0,0,0,0,0,50,1,1,0,2,0,0,0,0
Bizkaia,ORTUELLA,,83,2,7495,5175,71,5104,137,4967,2320,1277,899,459,415,0,0,4,1,6,1850,30,5,2,13,4,0,0,2
Bizkaia,OTXANDIO,,72,3,889,486,10,476,4,472,403,336,67,45,11,0,0,0,0,0,12,1,0,0,0,0,0,0,0
Álava,OYÓN-OION,,43,2,2002,1348,10,1338,14,1324,654,249,613,21,86,,1,6,,2,336,5,2,0,,3,0,,0
Gipuzkoa,OÑATI,,59,4,8986,4515,56,4459,74,4385,4471,2415,638,722,108,0,,8,,1,474,7,7,0,,0,0,0,5
Gipuzkoa,PASAIA,,64,2,14388,6627,83,6544,265,6279,7761,1314,1564,943,432,3,,23,,5,1923,46,13,2,,7,1,1,2
Álava,PEÑACERRADA-URIZAHARRA,,44,2,223,179,4,175,2,173,44,60,77,8,8,,0,0,,0,18,0,1,1,,0,0,,0
Bizkaia,PLENTZIA,,77,4,2891,2074,21,2053,43,2010,817,1255,364,138,68,1,0,4,4,0,154,12,2,2,5,0,0,0,1
Bizkaia,PORTUGALETE,,78,2,45728,32222,318,31904,937,30967,13506,7197,9031,1028,2720,6,15,91,43,36,10218,316,55,16,123,18,39,11,4
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,483,381,4,377,9,368,102,73,187,3,8,,0,1,,0,89,2,4,1,,0,0,,0
Álava,SAMANIEGO,,52,2,250,178,8,170,9,161,72,72,26,4,10,,0,0,,0,48,0,0,1,,0,0,,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,606,318,6,312,8,304,288,127,124,11,11,,0,4,,1,18,6,1,1,,0,0,,0
Bizkaia,SANTURTZI,,82,2,41224,27142,276,26866,702,26164,14082,6561,6885,862,2197,7,10,57,31,35,9032,253,52,11,127,18,9,7,10
Gipuzkoa,SEGURA,,70,3,1027,520,7,513,15,498,507,203,32,243,5,1,,1,,0,12,1,0,0,,0,0,0,0
Bizkaia,SESTAO,,84,2,28568,18482,265,18217,450,17767,10086,3721,4872,568,1606,1,7,32,16,19,6649,130,29,12,80,11,8,2,4
Bizkaia,SONDIKA,,904,4,3379,2568,35,2533,44,2489,811,1493,461,118,71,0,1,3,0,0,317,12,4,1,5,0,1,1,1
Bizkaia,SOPELA,,85,4,8034,4985,50,4935,191,4744,3049,2352,925,279,338,0,3,15,8,2,740,52,6,2,16,1,0,2,3
Bizkaia,SOPUERTA,,86,2,1950,1371,26,1345,36,1309,579,532,247,224,61,4,1,3,6,1,221,6,0,3,0,0,0,0,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3696,2126,14,2112,47,2065,1570,761,533,249,53,4,,2,,1,451,7,3,1,,0,0,0,0
Bizkaia,SUKARRIETA,,76,4,288,198,4,194,4,190,90,125,22,24,3,2,0,0,0,0,13,1,0,0,0,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,15291,7369,86,7283,266,7017,7922,2557,1540,1347,339,46,,12,,3,1080,63,19,6,,2,2,0,1
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,464,363,9,354,4,350,101,180,85,40,3,1,0,2,0,1,34,3,1,0,0,0,0,0,0
Bizkaia,UBIDE,,88,3,135,68,2,66,3,63,67,45,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3467,2066,33,2033,28,2005,1401,936,386,135,74,3,0,6,0,2,431,18,3,1,5,3,1,0,1
Bizkaia,URDULIZ,,89,4,2536,1615,23,1592,35,1557,921,887,214,126,60,0,1,3,3,0,249,6,5,0,1,1,0,1,0
Bizkaia,URDUÑA/ORDUÑA,,74,3,3331,2212,29,2183,45,2138,1119,1073,525,163,71,0,0,5,1,0,281,6,3,2,6,0,0,1,1
Álava,URKABUSTAIZ,,54,2,735,422,5,417,6,411,313,165,146,19,24,,2,0,,1,47,4,1,0,,1,1,,0
Gipuzkoa,URNIETA,,72,1,4375,2565,34,2531,129,2402,1810,851,489,175,145,2,,2,,1,712,16,5,0,,1,1,0,2
Gipuzkoa,URRETXU,,77,3,5439,3401,28,3373,75,3298,2038,808,578,791,175,1,,6,,4,907,22,3,2,,1,0,0,0
Gipuzkoa,USURBIL,,73,1,4414,1500,15,1485,39,1446,2914,509,242,250,52,0,,3,,3,363,15,2,1,,4,0,1,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,848,590,6,584,15,569,258,207,262,16,12,,0,0,,0,61,7,4,0,,0,0,,0
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10697,7372,109,7263,183,7080,3325,2184,1217,213,605,3,1,17,9,5,2736,57,8,0,19,5,0,0,1
Gipuzkoa,VILLABONA,,75,3,4529,1890,21,1869,67,1802,2639,590,384,371,81,2,,5,,5,340,18,3,0,,1,0,0,2
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,286,219,5,214,2,212,67,113,68,11,6,,0,0,,0,12,2,0,0,,0,0,,0
Álava,VITORIA-GASTEIZ,,59,1,183211,131606,1698,129908,4287,125621,51605,21876,53132,5082,7877,,147,541,,286,34132,1574,599,164,,87,69,,55
Álava,YÉCORA/IEKORA,,60,2,226,185,2,183,2,181,41,44,113,1,4,,0,0,,0,19,0,0,0,,0,0,,0
Bizkaia,ZALDIBAR,,95,3,2434,1425,19,1406,19,1387,1009,495,392,86,49,0,1,2,0,0,343,11,0,1,3,4,0,0,0
Gipuzkoa,ZALDIBIA,,78,3,1274,277,6,271,10,261,997,84,40,67,19,0,,0,,1,48,0,1,0,,1,0,0,0
Álava,ZALDUONDO,,61,2,119,76,,76,3,73,43,43,15,3,5,,0,0,,1,6,0,0,0,,0,0,,0
Bizkaia,ZALLA,,96,2,6520,5104,141,4963,74,4889,1416,2927,650,300,161,0,1,2,8,2,796,19,9,0,9,3,0,2,0
Álava,ZAMBRANA,,62,2,326,259,3,256,3,253,67,93,109,6,10,,0,0,,1,29,4,1,0,,0,0,,0
Bizkaia,ZAMUDIO,,905,4,2533,1634,18,1616,45,1571,899,883,313,57,47,2,0,0,1,1,249,9,1,2,5,0,0,0,1
Bizkaia,ZARATAMO,,97,3,1382,862,16,846,24,822,520,343,146,117,33,0,1,3,0,1,165,6,4,1,0,1,1,0,0
Gipuzkoa,ZARAUTZ,,79,4,16690,10267,120,10147,409,9738,6423,3092,2041,2667,325,8,,32,,3,1484,66,9,3,,3,0,3,2
Bizkaia,ZEANURI,,24,3,1012,694,5,689,13,676,318,467,49,136,14,0,0,0,0,0,8,1,0,0,1,0,0,0,0
Bizkaia,ZEBERIO,,25,3,842,470,10,460,3,457,372,400,16,17,4,0,0,0,0,2,18,0,0,0,0,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1111,546,4,542,3,539,565,152,36,332,4,0,,1,,0,13,0,0,0,,0,1,0,0
Gipuzkoa,ZERAIN,,26,3,207,103,1,102,4,98,104,63,1,32,0,0,,0,,0,2,0,0,0,,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2656,1158,6,1152,28,1124,1498,617,70,346,11,0,,1,,0,74,3,2,0,,0,0,0,0
Bizkaia,ZIERBENA,,913,2,1048,717,6,711,17,694,331,452,76,23,26,0,0,1,0,0,108,6,1,0,1,0,0,0,0
Álava,ZIGOITIA,,18,2,1050,650,11,639,33,606,400,233,176,80,21,,0,0,,2,89,4,1,0,,0,0,,0
Gipuzkoa,ZIZURKIL,,28,3,2342,956,11,945,20,925,1386,271,228,147,35,0,,2,,1,221,18,0,0,,0,0,0,2
Álava,ZUIA,,63,2,1406,954,15,939,35,904,452,423,279,77,25,,1,3,,2,82,8,3,0,,1,0,,0
Gipuzkoa,ZUMAIA,,81,4,6793,3797,42,3755,95,3660,2996,1528,548,539,104,2,,8,,1,913,11,3,0,,2,0,0,1
Gipuzkoa,ZUMARRAGA,,80,3,8686,5713,65,5648,156,5492,2973,1141,1200,838,354,3,,16,,4,1861,50,8,4,,6,3,2,2
