TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,PST,AR,UVE,J.V.,EA-EE,LKI-EMK,IND. KANPEZU 91,IND. RIBERA ALTA 91,IND. AMOROTO 91,IND. ARRIETA 91,IND. BALMASEDA 91,IND. BERRIATUA 91,IND. KARRANTZA 91,IND. ELANTXOBE 91,IND. ERMUA 91,IND. ETXEBARRI 91,IND. GARAI 91,IND. GORDEXOLA 91,IND. GORLIZ 91,IND. GIZABURUAGA 91,IND. IBARRANGELU 91,IND. ISPASTER 91,IND. IZURTZA 91,IND. ORTUELLA 91,IND. SOPUERTA 91,IND. TURTZIOZ 91,IND. ZALDIBAR 91,IND. ABALTZISKETA 91,IND. ADUNA 91,IND. ALBIZTUR 91,IND. ARAMA 91,IND. BALIARRAIN 91,IND. BELAUNTZA 91,IND. 1 BERROBI 91,IND. 2 BERROBI 91,IND. BIDEGOIAN 91,IND. DONOSTIA-SS. 91,IND. ELDUAIN 91,IND. ESKORIATZA 91,IND. EZKIO-ITSASO 91,IND. GABIRIA 91,IND. 1 GAINTZA 91,IND. 2 GAINTZA 91,IND. HERNIALDE 91,IND. IKAZTEGIETA 91,IND. ITSASONDO 91,IND. LARRAUL 91,IND. LEABUR-GAZT.91,IND. LEINTZ-GATZ. 91,IND. LIZARTZA 91,IND. MUTILOA 91,IND. OLABERRIA 91,IND. ERRENTERIA 91,IND. ZALDIBIA 91,IND. ZEGAMA 91,IND. ZERAIN 91
Bizkaia,ABADIÑO,,1,3,5234,3189,27,3162,42,3120,2045,1160,714,,701,161,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,242,115,1,114,,114,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7611,5095,32,5063,50,5013,2516,1052,1572,,703,1265,,170,217,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,262,197,5,192,32,160,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2821,1873,15,1858,7,1851,948,340,238,23,291,,147,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1412,1010,9,1001,8,993,402,532,,,269,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,411,256,6,250,57,193,155,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,290,261,1,260,1,259,29,86,,,139,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,249,133,7,126,,126,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1339,977,16,961,15,946,362,,28,,384,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,761,502,6,496,16,480,259,231,78,33,,105,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,217,136,9,127,12,115,81,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2523,2134,31,2103,28,2075,389,779,50,,317,304,,618,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,82,63,,63,6,57,19,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,276,214,,214,2,212,62,99,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,889,396,22,374,79,295,493,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,12390,8535,117,8418,84,8334,3855,3683,1254,,1741,408,,771,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,338,232,9,223,12,211,106,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,7364,5223,56,5167,41,5126,2141,1049,563,334,819,317,136,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11971,7518,20,7448,64,7384,4453,1155,1718,237,1641,1523,,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1372,946,8,938,10,928,426,115,54,,416,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1669,1410,3,1407,11,1396,259,441,195,,358,78,,190,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,88,79,,79,,79,9,38,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,126,76,,76,5,71,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1112,798,7,791,11,780,314,264,,,201,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,246,226,2,224,1,223,20,123,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,958,763,9,754,14,740,195,390,5,60,121,100,,60,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,4756,3336,19,3317,34,3283,1420,798,517,,886,112,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,127,81,11,70,7,63,46,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,684,376,7,369,4,365,308,176,48,58,,,28,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,639,573,1,572,2,570,66,330,0,,216,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20218,12992,64,12867,74,12793,7226,2749,3104,415,3133,736,,1965,318,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,534,344,12,332,5,327,190,150,92,31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,389,292,3,289,2,287,97,172,,,52,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,7422,4452,76,4376,89,4287,2970,1988,982,,962,,,278,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,537,483,5,478,13,465,54,223,,,104,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,591,450,3,447,9,438,141,358,6,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,919,738,8,730,8,722,181,343,50,119,140,,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1311,892,9,883,9,872,419,270,136,22,173,116,24,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,952,695,7,688,12,676,257,,,,355,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,2484,1733,8,1725,13,1712,751,316,79,,732,39,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1488,1179,5,1174,3,1171,309,172,,,492,169,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1158,849,3,846,15,831,309,548,20,,225,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,596,434,2,432,4,428,162,207,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,1743,1285,9,1276,19,1257,458,583,19,260,156,,34,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8403,5248,37,5211,40,5171,3155,2665,541,246,831,261,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,10258,6790,43,6747,82,6665,3468,3305,226,,1038,326,,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,173,146,9,137,2,135,27,68,61,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,1023,822,28,794,7,787,201,525,9,,127,29,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BALIARRAIN,,904,3,88,58,,58,,58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BALMASEDA,,90,2,6171,4550,50,4500,27,4473,1621,2020,813,165,501,,,404,,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,86085,46804,369,46435,471,45964,39281,12875,14756,3851,6332,3044,,2501,1992,420,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,598,404,4,400,5,395,194,230,7,,103,43,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,497,242,6,236,9,227,255,159,,26,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,39761,21814,143,22047,198,21849,17947,7815,7057,1097,3103,1169,,752,651,187,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,294,223,4,219,12,207,71,116,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,9693,6120,22,6098,51,6047,3573,1470,1130,144,1331,757,,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,879,760,9,751,11,740,119,537,,,91,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,161,142,1,141,7,134,19,69,,,46,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BELAUNTZA,,21,3,214,188,,188,1,187,26,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERANGO,,16,4,3127,2110,35,2075,25,2050,1017,860,232,,470,136,,289,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERANTEVILLA,,14,2,340,267,4,263,6,257,73,163,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERASTEGI,,22,3,760,537,4,533,3,530,223,160,,,152,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERGARA,,74,4,12662,8135,34,8099,48,8051,4527,2801,742,,2650,436,,1084,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERMEO,,17,4,14639,9446,66,9380,59,9321,5193,3090,579,,1980,686,,2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERNEDO,,16,2,505,250,3,247,7,240,255,125,38,51,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIATUA,,18,4,870,319,14,305,10,295,551,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3354,2319,15,2304,26,2278,1035,1081,249,,396,362,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERROBI,,23,3,463,339,,339,,339,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,100,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,410,350,1,349,1,348,60,116,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,311964,167244,1238,166006,1636,164370,144720,57639,34849,23436,20180,11504,,10370,2864,1260,157,1449,447,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1403,1068,2,1066,13,1053,335,488,25,,345,11,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,CAMPEZO/KANPEZU,,17,2,978,676,3,673,9,664,302,279,74,176,,,19,64,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,3836,2735,15,2720,21,2699,1101,585,176,,637,483,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,4114,2661,74,2587,26,2561,1453,1134,518,,321,361,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,883,795,6,789,6,783,88,274,,,444,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,142922,80274,400,79874,792,79082,62648,12170,13526,13036,13791,6922,,17859,809,300,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,
